"id","political_party","text_clean.x","batch_id","sentiment","explanation","gemini_llm"
"1344728786059874304","ciudadanos","🍊 2020 ha sido un año muy duro, pero Cs ha estado al lado de los españoles: ✅ Pactos para la reconstrucción. ✅ Apoyo a autónomos y pymes. ✅ Prórrogas de los ERTE. ✅ Evitamos subidas de impuestos. 💪Nuestro compromiso es seguir haciendo #PolíticaÚtil 🧡 ¡Feliz 2021 a todos!",1,"positive","The tweet expresses gratitude for the past year despite its difficulties and looks forward to a hopeful new year, highlighting positive actions taken and a commitment to useful politics.","positive"
"1344699053259558917","ciudadanos","No podíamos decir #Adiós2020 sin volver a agradecer el esfuerzo y la valentía de todos aquellos que nos han protegido frente a la pandemia. ❤️💛❤️¡Millones de #GraciasHéroes!",1,"positive","The tweet expresses deep gratitude and admiration for those who protected others during the pandemic, using strong positive language like 'effort and bravery' and 'Millions of #GraciasHéroes!'.","positive"
"1344681722357678089","ciudadanos","😉 ¡No te pierdas el último episodio del año del #VlogDeMel! 👉 responde a todas vuestras preguntas enviadas durante las Navidades. 🧡 'Les deseo un 2021 lleno de esperanza y salud'. 📽️",1,"positive","The tweet promotes an engaging video episode and conveys a positive message of hope and health for the new year.","positive"
"1344660080894029824","ciudadanos","🤝 Hoy decimos #Adiós2020, un año duro que nos ha mostrado la importancia de estar todos juntos. 🍊Por eso, pese a que algunos quieran separarnos, en 2021 vamos a estar más unidos que nunca. TODOS 🧡 ¡Feliz 2021! 🌟",1,"positive","The tweet acknowledges a difficult year but emphasizes unity and a positive outlook for the upcoming year, using celebratory emojis and phrases like 'more united than ever'.","positive"
"1344634410901991425","ciudadanos","📡 'El mejor deseo para todos es poder volver a nuestras vidas lo antes posible sin olvidar a todos aquellos que no siguen con nosotros' #ActualidadCs 🍊 Nuestro compromiso para el próximo año es seguir haciendo #PolíticaÚtil por los ciudadanos.",1,"neutral","The tweet expresses a wish for a return to normalcy and remembrance for those lost, while also stating a commitment to useful politics for citizens, which is a statement of intent rather than strong emotion.","neutral"
"1344633404080328710","ciudadanos","🙁 2020 ha sido un año horrible en el que hemos perdido a demasiada gente y muchos empleos. 📡 'Las asociaciones en los barrios están haciendo un trabajo enorme para que nadie quede atrás' #ActualidadCs 💪Ese es el ejemplo de lo que tenemos que seguir haciendo.",1,"negative","The tweet explicitly states that 2020 was a 'horrible year' and mentions loss of people and jobs, indicating a negative sentiment.","negative"
"1344632649055289344","ciudadanos","🍊🪁🧸 Hoy se ha trasladado hasta Móstoles para entregar al comedor social San Simón de Rojas los juguetes recogidos en las carpas solidarias de Cs. 📡 Después ha atendido a los medios, ¡ te dejamos un resumen!",1,"neutral","The tweet describes a charitable action of delivering toys to a social dining room and mentions attending to the media, which is a factual report of activities.","neutral"
"1344614102690390018","ciudadanos","🍊 Hoy dejamos atrás un año difícil y ha querido dejar un mensaje de Fin de Año para los catalanes: 'Quiero transmitir un mensaje de optimismo y esperanza. El futuro no está escrito, otra Cataluña es posible'.",1,"positive","The tweet conveys a message of optimism and hope for the future, stating that 'another Catalonia is possible', which is a positive and forward-looking sentiment.","positive"
"1344587856598208522","ciudadanos","🍊Cs apoyará los Presupuestos de comunidades y ciudades muy importantes de España. 👉 Será a cambio de ayudas a autónomos y pymes, más inversión en sanidad y moderación fiscal. ✅ Esto es ser responsables y hacer #PolíticaÚtil 📽 ¡Lo cuenta !",1,"positive","The tweet outlines a plan to support budgets in exchange for aid to self-employed and SMEs, and increased investment in healthcare, framing these actions as responsible and 'useful politics'.","positive"
"1344565616435490818","ciudadanos","🚨 Es increíble que tengamos a un ministro de Sanidad a tiempo parcial en mitad de una pandemia. 📺 'El PSOE ha priorizado su interés partidista a la salud de los españoles' en el ❗️ ¡Es una irresponsabilidad!",1,"negative","The tweet criticizes a minister as 'part-time' during a pandemic and calls the situation 'irresponsible', indicating a strong negative sentiment towards the government's actions.","negative"
